url_name,name,publication_scheme,disclosure_log
avon_and_somerset_police,Avon and Somerset Constabulary,https://www.avonandsomerset.police.uk/about/publication-scheme/,https://www.avonandsomerset.police.uk/about/freedom-of-information/previous-foi-requests/
cnc,Civil Nuclear Constabulary,https://www.gov.uk/government/organisations/civil-nuclear-constabulary/about/publication-scheme,https://www.gov.uk/search/transparency-and-freedom-of-information-releases?organisations[]=civil-nuclear-constabulary&parent=civil-nuclear-constabulary
cleveland_pcc,Cleveland Police and Crime Commissioner,https://www.cleveland.pcc.police.uk/commissioner/transparency/freedom-of-information-guidelines/,https://www.cleveland.pcc.police.uk/commissioner/transparency/foi-log/
cleveland_police,Cleveland Police,https://www.cleveland.police.uk/foi-ai/af/accessing-information/publication-scheme,https://www.cleveland.police.uk/foi-ai/af/accessing-information/published-items
college_of_policing,College of Policing Limited,https://www.college.police.uk/about/publication-scheme,https://www.college.police.uk/about/data-protection-foi/disclosure-log
cumbria_police,Cumbria Constabulary,https://www.cumbria.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.cumbria.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
derbyshire_police,Derbyshire Constabulary,https://www.derbyshire.police.uk/foi-ai/af/accessing-information/publication-scheme,"https://www.derbyshire.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
devon_and_cornwall_police,Devon and Cornwall Constabulary,https://www.devon-cornwall.police.uk/foi-ai/af/accessing-information/publication-scheme,https://www.devon-cornwall.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log&fdte=&tdte=&ic=&icsc=
dorset_pcp,Dorset Police and Crime Panel,https://www.dorsetcouncil.gov.uk/your-council/about-your-council/freedom-of-information/access-to-information-and-fees-for-dorset-council,https://dorset.disclosure-log.co.uk/
dorset_police,Dorset Police,https://www.dorset.police.uk/foi-ai/af/accessing-information/publication-scheme,https://www.dorset.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log&fdte=&tdte=&ic=&icsc=
dumfries_and_galloway_constabulary,Dumfries and Galloway Constabulary,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
durham_police,Durham Constabulary,https://www.durham.police.uk/foi-ai/af/accessing-information/publication-scheme,https://www.durham.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log&fdte=&tdte=&ic=&icsc=
dyfed_powys_police,Dyfed Powys Police,https://www.dyfed-powys.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.dyfed-powys.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
essex_police,Essex Police,https://www.essex.police.uk/foi-ai/af/accessing-information/publication-scheme/,https://www.essex.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log&dt=Publication+scheme&fdte=&tdte=
fife_constabulary,Fife Constabulary,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
gloucestershire_police,Gloucestershire Constabulary,https://www.gloucestershire.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.gloucestershire.police.uk/foi-ai/af/accessing-information/published-items/q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
gloucestershire_pcc,Gloucestershire Police and Crime Commissioner,https://www.gloucestershire-pcc.gov.uk/publication-scheme/,https://www.gloucestershire-pcc.gov.uk/previous-foi-requests/
grampian_police,Grampian Police,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
gmp,Greater Manchester Police,https://www.gmp.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.gmp.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
gwent_police,Gwent Police,https://www.gwent.police.uk/foi-ai/af/accessing-information/publication-scheme/,https://www.gwent.police.uk/foi-ai/af/accessing-information/published-items/
hampshire_police,Hampshire and Isle of Wight Constabulary,https://www.hampshire.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.hampshire.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
hertfordshire_police,Hertfordshire Constabulary,https://www.herts.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.herts.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
hertfordshire_pcc,Hertfordshire Police and Crime Commissioner,https://www.hertscommissioner.org/freedom-of-information-foi/publication-scheme/,https://www.hertscommissioner.org/freedom-of-information-foi/foi-disclosure-log/
humberside_police,Humberside Police,https://www.humberside.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.humberside.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
ipab,International Policing Assistance Board,https://www.npcc.police.uk/About-Us/governance-and-accountability/publication-scheme/,https://www.npcc.police.uk/publications/disclosure-log/
kent_police,Kent Police,https://www.kent.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.kent.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
leicestershire_police,Leicestershire Constabulary,https://www.leics.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.leics.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
lincolnshire_police,Lincolnshire Police,https://www.lincs.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.lincs.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
lothian_and_borders_police,Lothian and Borders Police,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
mopac,Mayor's Office for Policing and Crime,https://www.london.gov.uk/programmes-strategies/mayors-office-policing-and-crime/governance-and-decision-making/mopac-publication-scheme,https://www.london.gov.uk/programmes-strategies/mayors-office-policing-and-crime-mopac/mopac-governance-and-decision-making/mopac-disclosure-log?sort=latest
merseyside_police,Merseyside Police,https://www.merseyside.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.merseyside.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
mdp,Ministry of Defence Police,https://www.gov.uk/government/organisations/ministry-of-defence/about/publication-scheme,https://www.gov.uk/search/transparency-and-freedom-of-information-releases?content_store_document_type=foi_release&organisations%5B%5D=ministry-of-defence
norfolk_police,Norfolk Constabulary,https://www.norfolk.police.uk/about-us/our-data/publication-scheme-0,https://www.norfolk.police.uk/about-us/our-data/disclosure-logs
north_wales_police,North Wales Police,https://www.northwales.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.northwales.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
nyp,North Yorkshire Police,https://www.northyorkshire.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.northyorkshire.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
northamptonshire_police,Northamptonshire Police,https://www.northants.police.uk/foi-ai/af/accessing-information/publication-scheme/,https://www.northants.police.uk/foi-ai/af/accessing-information/published-items/
northern_constabulary,Northern Constabulary,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
northern_ireland_policing_board,Northern Ireland Policing Board,https://www.nipolicingboard.org.uk/publication-scheme,https://www.nipolicingboard.org.uk/publications-search/type/Freedom%20of%20Information%20Responses
nottinghamshire_police,Nottinghamshire Police,https://www.nottinghamshire.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.nottinghamshire.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
police_scotland,Police Scotland,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
psni,Police Service of Northern Ireland,https://www.psni.police.uk/about-us/our-publications-and-reports/our-publication-scheme,https://www.psni.police.uk/about-us/our-publications-and-reports/freedom-information
scottish_police_authority,Scottish Police Authority,https://www.spa.police.uk/publication-library/scottish-police-authority-publication-scheme/,https://www.spa.police.uk/publication-library/
south_wales_police,South Wales Police,https://www.south-wales.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.south-wales.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
syp,South Yorkshire Police,https://www.southyorkshire.police.uk/find-out/right-to-information/foi/,https://www.southyorkshire.police.uk/find-out/accessing-information/request-information-under-the-freedom-of-information-act/
staffordshire_police,Staffordshire Police,https://www.staffordshire.police.uk/foi-ai/af/accessing-information/publication-scheme/,https://www.staffordshire.police.uk/foi-ai/af/accessing-information/published-items/
strathclyde_police,Strathclyde Police,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
suffolk_police,Suffolk Constabulary,https://www.suffolk.police.uk/about-us/our-data/publication-scheme/publication-scheme,https://beta.suffolk.police.uk/foi-ai/af/accessing-information/published-items/
surrey_pcp,Surrey Police and Crime Panel,https://www.surreycc.gov.uk/council-and-democracy/your-privacy/publication-scheme,https://www.surreycc.gov.uk/council-and-democracy/your-privacy/freedom-of-information/disclosures
surrey_police,Surrey Police,https://www.surrey.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.surrey.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
sussex_police,Sussex Police,https://www.sussex.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.sussex.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
tayside_police,Tayside Police,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
thames_valley_police,Thames Valley Police,https://www.thamesvalley.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.thamesvalley.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
police_federation,The Police Federation of England and Wales,https://www.polfed.org/resources/access-to-information/publication-scheme/,https://www.polfed.org/resources/access-to-information/disclosure-log/
ukfpu,UK Football Policing Unit,https://www.npcc.police.uk/About-Us/governance-and-accountability/publication-scheme/,https://www.npcc.police.uk/publications/disclosure-log/
nwcu,UK National Wildlife Crime Unit,https://www.npcc.police.uk/About-Us/governance-and-accountability/publication-scheme/,https://www.npcc.police.uk/publications/disclosure-log/
warwickshire_police,Warwickshire Police,https://www.warwickshire.police.uk/foi-ai/af/accessing-information/publication-scheme/,https://www.warwickshire.police.uk/foi-ai/af/accessing-information/published-items/
west_mercia_police,West Mercia Police,https://www.westmercia.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.westmercia.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
wmp,West Midlands Police,https://foi.west-midlands.police.uk/publication-scheme/what-is-the-publication-scheme/,https://foi.west-midlands.police.uk/disclosure-log/
west_yorkshire_police,West Yorkshire Police,https://www.westyorkshire.police.uk/about-us/how-we-work/publication-scheme,https://www.westyorkshire.police.uk/freedom-of-information
wiltshire_police,Wiltshire Constabulary,https://www.wiltshire.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.wiltshire.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
